scenario,method,stranding,final_soc,steps,error
A,Baseline,0,100.0,2,
A,Baseline,0,98.59,2,
A,Baseline,0,95.76,2,
A,Baseline,0,96.35,2,
A,Baseline,0,100.0,2,
A,Baseline,0,100.0,2,
A,Baseline,0,94.94,2,
A,Baseline,0,98.59,2,
A,Baseline,0,100.0,2,
A,Baseline,0,97.0,2,
A,Baseline,0,95.76,2,
A,Baseline,0,97.0,2,
A,Baseline,0,94.76,2,
A,Baseline,0,97.17,2,
A,Baseline,0,94.76,2,
A,Baseline,0,94.76,2,
A,Baseline,0,97.0,2,
A,Baseline,0,96.35,2,
A,Baseline,0,94.94,2,
A,Baseline,0,100.0,2,
A,Baseline,0,100.0,2,
A,Baseline,0,96.35,2,
A,Baseline,0,94.76,2,
A,Baseline,0,98.59,2,
A,Baseline,0,97.17,2,
A,Baseline,0,97.0,2,
A,Baseline,0,96.35,2,
A,Baseline,0,100.0,2,
A,Baseline,0,94.94,2,
A,Baseline,0,100.0,2,
A,Baseline,0,100.0,2,
A,Baseline,0,97.17,2,
A,Baseline,0,95.76,2,
A,Baseline,0,95.76,2,
A,Baseline,0,96.35,2,
A,Baseline,0,94.76,2,
A,Baseline,0,97.0,2,
A,Baseline,0,97.17,2,
A,Baseline,0,95.76,2,
A,Baseline,0,94.76,2,
A,Baseline,0,97.17,2,
A,Baseline,0,97.0,2,
A,Baseline,0,94.94,2,
A,Baseline,0,94.76,2,
A,Baseline,0,97.0,2,
A,Baseline,0,94.76,2,
A,Baseline,0,98.59,2,
A,Baseline,0,97.0,2,
A,Baseline,0,100.0,2,
A,Baseline,0,95.76,2,
A,Baseline,0,94.76,2,
A,Baseline,0,94.76,2,
A,Baseline,0,97.0,2,
A,Baseline,0,100.0,2,
A,Baseline,0,97.17,2,
A,Baseline,0,94.94,2,
A,Baseline,0,98.59,2,
A,Baseline,0,94.76,2,
A,Baseline,0,100.0,2,
A,Baseline,0,97.17,2,
A,Baseline,0,94.76,2,
A,Baseline,0,97.17,2,
A,Baseline,0,96.35,2,
A,Baseline,0,96.35,2,
A,Baseline,0,94.76,2,
A,Baseline,0,100.0,2,
A,Baseline,0,98.59,2,
A,Baseline,0,97.0,2,
A,Baseline,0,97.17,2,
A,Baseline,0,98.59,2,
A,Baseline,0,100.0,2,
A,Baseline,0,96.35,2,
A,Baseline,0,97.0,2,
A,Baseline,0,100.0,2,
A,Baseline,0,97.0,2,
A,Baseline,0,98.59,2,
A,Baseline,0,94.76,2,
